Estació,Altitud (m),T(ºC),T mín (ºC),T màx (ºC),Punt rosada (ºC),Wind Chill (ºC),Humetat relativa %,Precip Dia (mm),Intensitat precip,Vent (km/h),Direcció vent,Màxim vent (km/h)
la Vall d′Ebo,394 +10,9.1,-0.4,9.1,2.4,,63,0.2,0.2,5,SO,13
la Vall de LaguarBenimaurell,540 +7,7.7,1.3,7.7,1.9,5.6,67,0.0,0.0,11,N,15
Alacantl′Illa de Tabarca,4 +6,11.8,7.8,11.8,5.8,,67,0.0,0.0,0,S,42
Pilar de la Horadada Pinar de Campoverde,163 +6,11.3,4.0,11.3,3.3,,58,0.0,0.0,2,SSE,16
Estacions dels socis,Estacions dels socis,Estacions dels socis,Estacions dels socis,Estacions dels socis,Estacions dels socis,Estacions dels socis,Estacions dels socis,Estacions dels socis,Estacions dels socis,Estacions dels socis,Estacions dels socis,Estacions dels socis
els Ports,els Ports,els Ports,els Ports,els Ports,els Ports,els Ports,els Ports,els Ports,els Ports,els Ports,els Ports,els Ports
Cinctorres,910 +8,3.1,-5.2,3.1,-2.7,,66,0.0,0.0,0,ENE,16
Forcall,692 +2,5.3,-9.2,5.3,-1.7,2.8,61,0.0,0.0,11,N,21
Herbers,753 +7,4.3,-6.4,4.4,-3.3,,58,0.0,0.0,0,ENE,19
la Mata,845 +7,4.6,-7.6,4.6,-2.8,3.1,59,0.0,0.0,6,ESE,23
Morellacentre,980 +20,4.7,-5.1,4.7,-3.4,2.4,56,0.0,0.0,10,SSO,16
MorellaFàbrica Giner,766 +2,5.1,-9.3,5.1,,,59,0.0,0.0,,,
MorellaMas d'Agustino,947 +2,4.1,-9.2,4.1,-4.0,1.3,56,0.0,0.0,12,ONO,22
Olocau del Reila Magdalena,1.152 +2,3.5,-5.4,3.6,-3.4,-0.5,61,0.0,0.0,18,NNO,27
Vilafranca,1.132 +18,3.0,-7.0,3.3,-4.1,-0.6,60,0.0,0.0,15,NNE,26
Vilafrancala Pobla del Bellestar,1.140 +2,4.8,-11.7,4.9,-3.3,0.9,56,0.0,0.0,19,NE,24
l′Alt Maestrat,l′Alt Maestrat,l′Alt Maestrat,l′Alt Maestrat,l′Alt Maestrat,l′Alt Maestrat,l′Alt Maestrat,l′Alt Maestrat,l′Alt Maestrat,l′Alt Maestrat,l′Alt Maestrat,l′Alt Maestrat,l′Alt Maestrat
Albocàsser,525 +14,8.4,-1.5,8.5,-4.5,,40,0.0,0.0,3,ENE,19
Albocàsserla Llacuna,538 +2,9.8,-2.3,9.8,-2.9,,41,0.0,0.0,0,OSO,24
Ares del Maestrat,1.197 +12,2.1,-4.9,2.8,-4.3,-0.3,63,0.0,0.0,8,N,47
Ares del Maestratla Vall de Catí,690 +2,8.4,-0.9,8.5,-2.7,5.6,46,0.0,0.0,18,NO,53
Ares del MaestratPla de la Pinella,950 +2,3.6,-11.2,3.6,-4.0,1.5,58,0.0,0.0,8,ONO,24
Atzeneta del Maestrat,392 +2,10.3,-4.3,10.3,-3.2,,39,0.0,0.0,6,SSE,21
Benafigos,945 +11,5.4,-2.3,5.4,-4.0,,51,0.0,0.0,3,SO,44
Benassal,830 +14,8.0,-3.4,8.0,-3.6,,44,0.0,0.0,2,ESE,13
BenassalMas de les Llometes,785 +2,8.1,-2.9,8.1,-4.2,7.2,42,0.0,0.0,6,ONO,53
Catí,661 +10,7.2,-0.3,7.4,-2.6,4.8,50,0.0,0.0,13,NO,40
Catíl′Avellà,934 +2,6.4,-2.8,7.1,-2.3,4.4,54,0.0,0.0,10,N,45
CatíVenta de l'Aire,600 +2,8.2,0.2,8.2,-2.8,5.2,46,0.0,0.0,19,NO,53
CullaObservatori Astronòmic,1.058 +2,7.4,-3.9,7.4,-2.4,6.0,50,0.0,0.0,8,N,48
CullaPla de les Vinyes,508 +6,8.7,0.8,8.8,-3.9,7.5,41,0.0,0.0,8,OSO,42
la SerratellaAjuntament,781 +12,6.3,-1.7,6.3,-3.7,3.7,49,0.0,0.0,13,ESE,27
la SerratellaCarrer de la Font,768 +10,6.3,-1.8,6.3,,,,0.0,0.0,6,SSE,27
la SerratellaSant Joan Nepomucé,937 +8,4.8,-2.4,4.9,-6.5,,44,0.0,0.0,3,NO,35
la Torre d′en Besorala Pedrisseta,659 +2,8.2,-0.7,8.8,-4.4,7.3,41,0.0,0.0,6,ENE,56
la Torre d′en Besorazona esportiva,582 +2,9.6,-4.0,9.8,-2.2,,44,0.0,0.0,2,SO,23
Tírig,463 +10,9.3,1.7,9.3,-3.4,,41,0.0,0.0,2,ESE,47
Vilar de Canes,670 +12,8.4,-0.2,8.4,-5.9,,36,0.0,0.0,0,E,48
Vistabella del Maestrat,1.249 +12,5.1,-7.0,5.3,-5.4,3.3,47,0.0,0.0,8,SE,23
el Baix Maestrat,el Baix Maestrat,el Baix Maestrat,el Baix Maestrat,el Baix Maestrat,el Baix Maestrat,el Baix Maestrat,el Baix Maestrat,el Baix Maestrat,el Baix Maestrat,el Baix Maestrat,el Baix Maestrat,el Baix Maestrat
BenicarlóSant Gregori,20 +6,11.3,0.8,12.7,0.0,,46,0.0,0.0,10,SSE,29
Càlig,130 +18,11.7,3.2,11.9,-1.6,,40,0.0,0.0,3,SO,35
Canet lo Roig,331 +12,9.8,3.1,9.8,-1.4,,46,0.0,0.0,2,ENE,40
Cervera del Maestre,288 +16,10.2,2.3,10.2,-1.9,,43,0.0,0.0,8,S,32
la Jana,330 +7,9.5,1.2,9.8,-2.0,8.8,45,0.0,0.0,6,OSO,24
la Salzadella,339 +15,9.3,0.3,9.4,-3.4,8.2,41,0.0,0.0,8,N,13
PeníscolaBenimar,21 +14,10.5,3.1,11.1,-0.4,,47,0.0,0.0,16,SSE,27
PeníscolaGran Hotel Peñiscola,0 +29,10.1,2.3,11.4,0.9,,53,0.0,0.0,10,SSO,24
RossellBel,957 +8,3.1,-2.8,3.1,-4.0,0.9,60,0.0,0.0,8,N,56
Rossellles Cases del Riu,392 +2,9.8,2.4,9.8,-2.3,,43,0.0,0.0,5,NO,45
RossellAjuntament,475 +12,8.4,1.8,8.4,-2.7,6.8,46,0.0,0.0,10,OSO,47
Sant Jordi,175 +15,10.6,3.4,10.7,-2.9,,39,0.0,0.0,2,O,39
Sant JordiPanoràmica Golf,160 +2,11.6,-0.9,11.6,-2.0,,39,0.0,0.0,10,O,24
Sant MateuFont Aigua Nova,344 +6,10.8,1.8,10.8,-2.4,,40,0.0,0.0,5,NNO,31
Sant MateuIES Maestrat,335 +16,10.7,1.5,10.7,-4.3,,35,0.0,0.0,3,ENE,35
Sant MateuMolins,288 +2,11.1,-6.6,11.1,-2.4,,39,0.0,0.0,3,ESE,15
Sant MateuOest,330 +15,10.7,1.5,10.7,-3.5,,37,0.0,0.0,3,ESE,36
Santa Magdalena de Polpís,123 +14,12.1,-0.2,12.2,-0.9,,41,0.0,0.0,2,SE,10
Traiguera,268 +9,10.0,1.4,10.0,-1.8,,44,0.0,0.0,8,ONO,34
VinaròsClub Nàutic,2 +30,11.8,2.2,11.9,1.1,,48,0.0,0.0,6,SE,23
Xert,452 +16,9.1,2.0,9.4,-1.4,8.3,48,0.0,0.0,6,ENE,35
l′Alcalatén,l′Alcalatén,l′Alcalatén,l′Alcalatén,l′Alcalatén,l′Alcalatén,l′Alcalatén,l′Alcalatén,l′Alcalatén,l′Alcalatén,l′Alcalatén,l′Alcalatén,l′Alcalatén
l′AlcoraAraia,328 +9,9.7,-2.3,10.1,-4.8,9.1,36,0.0,0.0,6,SSE,20
l′AlcoraIES Ximén d′Urrea,248 +15,9.6,-0.8,10.3,-3.8,8.5,39,0.0,0.0,8,E,15
les Useres,401 +14,10.2,1.4,10.2,-2.3,,42,0.0,0.0,5,E,27
Llucena,585 +11,7.9,-0.3,7.9,-4.0,5.4,43,0.0,0.0,15,ESE,21
Xodosla Lloma Bernat,1.164 +8,4.2,-2.2,4.2,-5.9,,48,0.0,0.0,3,SSO,26
Xodosla Vega,942 +2,6.9,-10.1,7.2,-5.2,,42,0.0,0.0,2,NE,19
XodosMas de Caixó,1.250 +6,4.7,-2.7,5.4,,,,0.0,0.0,10,ESE,31
la Plana Alta,la Plana Alta,la Plana Alta,la Plana Alta,la Plana Alta,la Plana Alta,la Plana Alta,la Plana Alta,la Plana Alta,la Plana Alta,la Plana Alta,la Plana Alta,la Plana Alta
Almassora,28 +12,11.8,2.4,11.8,-2.9,,36,0.0,0.0,5,O,27
Benicàssimel Quadre de Santiago,2 +9,10.3,4.5,10.3,0.5,,51,0.0,0.0,6,SSE,18
Benicàssimles Vil·les,7 +12,10.2,4.3,10.3,1.2,,54,0.0,0.0,8,SE,21
BenicàssimCim del Bartolo,729 +2,6.7,0.0,8.5,-1.3,4.2,57,0.0,0.0,13,SSO,29
BenicàssimHotel Voramar,1 +23,9.9,5.6,10.6,1.9,8.1,58,0.0,0.0,13,SSE,21
Benicàssimpoble,15 +17,10.3,3.3,10.7,0.8,,52,0.0,0.0,6,SE,13
Borriolla Vall del Morico,223 +2,10.2,-1.6,10.3,-2.6,,41,0.0,0.0,6,SSE,27
BorriolMas de Gaetà,176 +8,10.8,1.0,10.8,-0.2,,47,0.0,0.0,3,SSE,24
CabanesMas del Corretger,187 +2,10.8,-2.1,11.2,0.4,,49,0.0,0.0,6,SSE,21
Castelló de la PlanaCamí de la Plana,2 +8,10.7,,11.2,0.6,,50,0.0,0.0,4,SSE,15
Castelló de la PlanaCarrer del Riu Xúquer,32 +28,12.1,1.7,12.3,-2.6,,36,0.0,0.0,6,SSO,16
Castelló de la PlanaEdifici Capitol,24 +80,10.0,3.1,10.7,-3.4,,39,0.0,0.0,8,NNE,26
Castelló de la PlanaGrup Sant Agustí,28 +10,11.7,2.1,11.7,-1.6,,40,0.0,0.0,6,SE,26
Castelló de la PlanaIES Bovalar,41 +14,11.7,1.4,11.9,-1.9,,39,0.0,0.0,6,S,15
Castelló de la PlanaIES Francesc Ribalta,26 +21,11.1,2.5,11.2,-1.8,,41,0.0,0.0,5,ENE,15
Castelló de la PlanaIES Vicent Sos Baynat,22 +12,12.1,3.3,12.1,1.6,,49,0.0,0.0,2,ENE,13
Castelló de la PlanaRCN Castelló,2 +16,10.4,1.8,10.4,0.9,,52,0.0,0.0,8,SSO,23
Castelló de la PlanaSerradal,2 +7,10.6,0.7,10.9,1.1,,52,0.0,0.0,7,SE,13
la Pobla Tornesa,297 +2,10.6,-3.9,10.6,0.5,,50,0.0,0.0,5,SSO,16
la Serra d′en Galceran,744 +14,6.4,-0.9,6.4,-3.4,,50,0.0,0.0,3,SSE,35
la Serra d′en Galceranels Ivarsos,314 +14,10.2,0.1,10.2,-1.3,,45,0.0,0.0,3,SSO,27
la Vall d′Albacentre,305 +16,9.8,-0.1,9.9,-2.3,,43,0.0,0.0,3,SO,21
la Vall d′Albasud,270 +2,10.8,-4.8,11.1,-1.7,,42,0.0,0.0,3,O,15
les Coves de Vinromà,186 +15,10.9,-3.7,11.0,0.5,,49,0.0,0.0,3,NE,32
les Coves de VinromàMas del Tonto,332 +6,10.1,1.6,10.1,-2.0,,43,0.0,0.0,3,ESE,34
OrpesaClub Nàutic,2 +8,9.5,4.7,10.4,0.3,8.1,53,0.0,0.0,10,SSE,18
OrpesaTorre Bellver,22 +6,9.8,2.2,10.4,1.4,8.8,56,0.0,0.0,8,SSE,16
Sant Joan de Moró,184 +14,10.3,-0.7,10.3,-2.5,,41,0.0,0.0,3,S,16
Torreblanca,28 +10,11.8,3.6,12.3,-1.5,,40,0.0,0.0,6,SO,18
Vilafamés,350 +12,9.1,2.6,9.2,-2.3,7.9,45,0.0,0.0,8,ONO,23
Vilanova d′Alcolea,349 +15,9.6,-0.1,9.6,-2.8,,42,0.0,0.0,5,OSO,16
la Plana Baixa,la Plana Baixa,la Plana Baixa,la Plana Baixa,la Plana Baixa,la Plana Baixa,la Plana Baixa,la Plana Baixa,la Plana Baixa,la Plana Baixa,la Plana Baixa,la Plana Baixa,la Plana Baixa
Alfondeguilla,216 +14,9.9,-1.5,9.9,0.7,9.6,53,0.0,0.0,5,SSE,13
Almenara,36 +15,10.4,2.7,10.6,0.9,,52,0.0,0.0,3,SE,15
AlmenaraComunitat de Regants,32 +2,11.3,-0.3,11.3,1.2,,50,0.0,0.0,5,SSO,19
AlmenaraMotor el Blau,22 +6,10.7,1.5,11.3,1.4,,53,0.0,0.0,8,SE,17
Artana,262 +14,10.0,-0.7,10.0,0.0,,50,0.0,0.0,6,SE,16
Betxí,98 +16,11.1,1.6,11.2,-0.8,,44,0.0,0.0,2,SO,21
BetxíMuntanyeta de Sant Antoni,138 +10,10.3,1.3,10.6,-1.5,,44,0.0,0.0,13,SSE,34
BorrianaPlatja del Grau,33 +29,9.3,3.2,10.6,1.6,6.6,59,0.0,0.0,19,S,37
BorrianaClub Nàutic,1 +8,10.5,3.4,11.7,1.8,,55,0.0,0.0,11,SSE,19
Eslida,342 +9,9.9,-1.8,10.1,-3.9,,38,0.0,0.0,3,SSE,13
la VilavellaCarrer Barranc,50 +18,10.7,2.0,10.8,-0.9,,45,0.0,0.0,16,S,18
la VilavellaPtda. Forns,115 +6,10.7,1.7,10.8,0.6,,50,0.0,0.0,11,ESE,18
les Alqueries,25 +14,11.7,2.7,11.7,-1.9,,39,0.0,0.0,5,SSE,26
les AlqueriesCap de Terme,30 +2,11.4,1.3,11.4,1.3,,50,0.0,0.0,0,OSO,24
Moncofa,6 +14,9.9,0.9,10.6,-0.1,,50,0.0,0.0,5,SSO,23
Nulesl'Estany,0 +2,11.3,0.2,11.3,2.0,,53,0.0,0.0,11,SSO,27
Onda,192 +19,10.9,1.7,10.9,-1.0,,44,0.0,0.0,5,SSE,18
Onda Artesa CR Cota 220,248 +3,10.8,-0.6,10.8,-1.1,,44,0.0,0.0,11,SSE,18
Onda Ràtils - CR Cota 220,121 +2,11.7,1.1,11.8,-1.6,,40,0.0,0.0,5,SSE,23
Onda Sant Gil,166 +5,11.7,1.0,11.8,-0.9,,42,0.0,0.0,3,SSE,11
Tales,232 +13,10.1,-1.7,10.2,-1.4,,45,0.0,0.0,11,E,16
Vila-realCarinyena,34,11.1,0.8,11.3,-0.2,,46,0.0,0.0,0,SE,23
Vila-realCol·legi Santa Maria,34 +10,11.1,2.4,11.3,,,40,0.0,0.0,,,
Vila-realla Llum de Tol,64,11.0,-1.2,11.0,-0.9,,44,0.0,0.0,1,OSO,13
Vila-realles Solaes,27 +2,11.3,3.0,11.5,,,,0.0,0.0,0,SSO,21
Vila-realPlaça Dos de Maig,61 +19,11.7,1.9,12.4,-3.4,,35,0.0,0.0,3,SSO,26
Vila-realUrb. Madrigal,54 +10,11.0,1.7,11.4,0.6,,49,0.0,0.0,4,SSE,22
l′Alt Palància,l′Alt Palància,l′Alt Palància,l′Alt Palància,l′Alt Palància,l′Alt Palància,l′Alt Palància,l′Alt Palància,l′Alt Palància,l′Alt Palància,l′Alt Palància,l′Alt Palància,l′Alt Palància
Algimia de Almonacid,480 +18,9.9,-3.0,9.9,-3.2,9.3,40,0.0,0.0,6,SSO,15
AlturaMasía de Uñoz,670 +8,8.4,-3.7,8.4,-2.4,,47,0.2,0.2,2,O,15
Bejís,780 +15,8.6,-2.3,8.7,-4.4,,40,0.0,0.0,3,E,17
Caudiel,633 +20,10.1,-1.2,10.1,-5.6,,33,0.0,0.0,10,SSO,19
El ToroCerro Gil,1.194 +2,6.9,-6.4,7.0,-5.9,4.6,40,0.0,0.0,12,E,19
Gaibiel,517 +10,10.2,-5.8,10.4,-3.3,,39,0.0,0.0,8,SSE,15
JéricaLos Novales,439 +5,10.6,-6.4,10.7,-2.6,,40,0.0,0.0,3,SE,18
Soneja,275 +15,10.2,-1.4,10.4,-1.3,,45,0.0,0.0,6,SE,18
Vall de Almonacid,472 +5,10.8,-2.6,11.1,-3.8,,36,0.0,0.0,2,ESE,8
ViverCooperativa,530 +10,7.2,-3.2,10.5,-4.7,,43,0.0,0.0,0,NE,24
XóvarAgua de Chóvar,390 +14,9.1,-1.9,9.2,-2.0,7.1,46,0.0,0.0,13,SE,18
l′Alt Millars,l′Alt Millars,l′Alt Millars,l′Alt Millars,l′Alt Millars,l′Alt Millars,l′Alt Millars,l′Alt Millars,l′Alt Millars,l′Alt Millars,l′Alt Millars,l′Alt Millars,l′Alt Millars
Ayódar,380 +12,9.8,-5.1,9.8,-2.0,,44,0.0,0.0,5,E,15
Fanzara,222 +10,11.3,0.5,11.8,-2.3,,39,0.0,0.0,5,SSE,22
Fuentes de Ayódar,544 +6,9.9,-0.4,10.1,-2.9,9.3,41,0.0,0.0,6,N,19
Sucaina,812,7.5,-4.6,7.5,-5.0,6.6,41,0.0,0.0,6,SSE,13
Villahermosa del Ríola Cañada,1.032 +9,6.4,-4.9,6.4,-8.5,5.1,34,0.0,0.0,7,SO,15
el Racó d′Ademús,el Racó d′Ademús,el Racó d′Ademús,el Racó d′Ademús,el Racó d′Ademús,el Racó d′Ademús,el Racó d′Ademús,el Racó d′Ademús,el Racó d′Ademús,el Racó d′Ademús,el Racó d′Ademús,el Racó d′Ademús,el Racó d′Ademús
AdemúsIES Ademuz,710,4.9,-8.4,4.9,-2.3,,60,0.0,0.0,5,N,13
Castielfabib,950 +10,3.7,-6.4,3.9,,,54,0.0,0.0,,,
els Serrans,els Serrans,els Serrans,els Serrans,els Serrans,els Serrans,els Serrans,els Serrans,els Serrans,els Serrans,els Serrans,els Serrans,els Serrans
Alpuente,960 +14,5.2,-6.7,5.2,-4.0,2.1,52,0.0,0.0,15,N,21
AlpuenteLa Torre,1.213 +2,6.6,-6.3,7.3,-4.9,,44,0.0,0.0,5,ESE,26
Aras de los Olmos,945,5.8,-5.6,6.0,-3.7,3.7,51,0.0,0.0,10,O,23
CallesAlcotas,875 +7,7.9,-9.4,8.0,-6.0,7.1,37,0.0,0.0,6,SO,11
CallesParc d'Emergències,375,11.0,-1.2,11.7,-5.2,,32,0.0,0.0,3,O,26
Sot de Xera,333,10.7,-0.3,10.7,-1.8,,42,0.0,0.0,11,S,29
Villar del Arzobispo,544 +9,8.8,-0.7,8.8,-2.6,8.0,45,0.0,0.0,6,ESE,23
Villar del ArzobispoCasica Roger,379 +2,10.2,-3.1,10.2,-2.9,,40,0.0,0.0,5,ONO,34
Xelva,470,10.1,-1.2,10.5,-4.8,,35,0.0,0.0,5,O,16
el Camp de Túria,el Camp de Túria,el Camp de Túria,el Camp de Túria,el Camp de Túria,el Camp de Túria,el Camp de Túria,el Camp de Túria,el Camp de Túria,el Camp de Túria,el Camp de Túria,el Camp de Túria,el Camp de Túria
Bétera,91 +12,11.2,1.2,11.2,0.8,,49,0.0,0.0,0,SSO,16
Béterala Conarda,150 +7,10.7,1.0,10.7,-0.3,,47,0.0,0.0,0,SSO,13
Benaguasil,120 +15,11.4,2.3,11.5,-0.2,,45,0.0,0.0,6,S,22
l′ElianaBarranc de Mandor,89 +2,10.9,-5.0,11.0,-0.4,,46,0.0,0.0,3,ESE,10
l′Elianacentre,100 +18,10.2,0.9,10.2,-0.4,,48,0.0,0.0,3,S,16
l′ElianaPinaeta del Cel,90 +4,10.7,-0.6,10.7,-0.3,,47,0.0,0.0,0,ENE,10
la Pobla de Vallbona,102,11.8,2.0,12.4,0.8,,47,0.0,0.0,6,ESE,24
la Pobla de Vallbonaels Racons,173,11.5,0.6,12.0,-0.7,,43,,,7,S,20
la Pobla de Vallbonala Muntanyeta,93 +8,11.2,1.0,11.4,0.5,,48,0.0,0.0,2,E,18
Llíria,160,11.6,-0.9,11.6,-1.3,,41,0.0,0.0,3,NNO,23
LlíriaBodegas del Campo,370 +7,9.6,,9.6,-2.2,,44,0.0,0.0,4,SO,12
LoriguillaPozalet,161 +7,11.2,0.2,11.2,1.9,,53,0.0,0.0,4,ESE,17
Marines,220,10.7,-0.5,11.4,-2.1,,41,0.0,0.0,2,S,13
NàqueraGermanells,78,10.7,0.8,11.0,,,50,0.0,0.0,,,
Riba-roja de Túriala Reva,104,11.2,0.7,11.2,2.9,,57,0.0,0.0,8,ENE,11
Serra,332,10.3,0.6,10.3,-2.5,,41,0.0,0.0,8,OSO,15
VilamarxantAjuntament,110 +23,11.9,0.7,11.9,1.1,,48,0.0,0.0,3,ENE,15
VilamarxantLa Pedrera,185,11.5,-1.2,11.6,1.1,,49,0.0,0.0,0,NNE,11
VilamarxantMas de Teulada,155,12.8,-2.4,12.9,1.4,,46,0.0,0.0,5,SSE,21
VilamarxantSant Josep,111 +10,11.6,-1.4,12.2,2.0,,52,0.0,0.0,0,NE,15
el Camp de Morvedre,el Camp de Morvedre,el Camp de Morvedre,el Camp de Morvedre,el Camp de Morvedre,el Camp de Morvedre,el Camp de Morvedre,el Camp de Morvedre,el Camp de Morvedre,el Camp de Morvedre,el Camp de Morvedre,el Camp de Morvedre,el Camp de Morvedre
Algar de Palància,188 +10,10.3,0.2,10.5,-0.3,,48,0.0,0.0,11,N,21
Quartell,45 +12,10.8,3.5,10.8,1.2,,52,0.0,0.0,10,SE,37
SaguntRacó de Gausa,64,11.7,2.8,11.7,,,53,0.0,0.0,,,
l′Horta Nord,l′Horta Nord,l′Horta Nord,l′Horta Nord,l′Horta Nord,l′Horta Nord,l′Horta Nord,l′Horta Nord,l′Horta Nord,l′Horta Nord,l′Horta Nord,l′Horta Nord,l′Horta Nord
Albalat dels Sorells,10,10.1,1.7,10.8,,,,0.0,0.0,6,SSE,16
Almàssera,11 +2,10.4,1.5,11.6,3.8,,64,0.0,0.0,15,ESE,23
BurjassotÀ Punt,43,10.4,3.2,10.4,,,,0.0,0.0,3,NE,29
BurjassotVilla Indiano,30 +10,11.6,4.1,11.6,2.0,,52,0.0,0.0,0,ENE,24
el Puig de Santa Mariala Lloma,118,11.1,2.4,11.1,,,44,0.0,0.0,,,
MelianaCEIP El Crist,20,10.7,2.7,11.0,2.9,,59,0.0,0.0,2,SSE,23
PaternaCases Verdes,53,10.9,3.5,11.4,1.9,,54,0.0,0.0,4,SE,32
PuçolUrbanització Alfinach,100 +12,11.4,4.7,11.4,1.0,,49,0.0,0.0,2,OSO,19
València,València,València,València,València,València,València,València,València,València,València,València,València
Valènciael Saler Platja de la Garrofera,2 +39,10.4,3.6,10.4,4.0,,65,0.0,0.0,6,SE,18
ValènciaAltocúmulo,19 +37,10.7,3.6,10.7,3.9,,63,0.0,0.0,3,SE,23
ValènciaCamins al Grau,6 +25,10.2,4.6,10.5,4.1,,66,0.0,0.0,6,SO,15
ValènciaCol·legi Diocesà San Juan Bosco,18 +12,11.4,3.9,11.5,3.8,,60,0.0,0.0,5,SE,11
ValènciaCol·legi Pureza de María-Cid,25 +28,10.2,3.2,10.3,2.9,,61,0.0,0.0,3,ESE,23
Valèncial'Albufera/Racó de l'Olla (Centre d'Informació),1 +2,12.4,-0.4,12.5,,,72,0.2,0.2,,,
Valèncial'Olivereta,50,9.8,3.7,10.0,4.1,,68,0.0,0.0,5,ESE,18
ValènciaMicalet,14,10.4,4.3,10.4,4.0,,65,0.0,0.0,5,S,16
ValènciaPenya-roja,7 +46,10.7,4.5,10.9,3.6,,62,0.0,0.0,4,NE,22
ValènciaSant Isidre,27,11.7,2.7,11.7,4.1,,60,0.0,0.0,0,SSE,10
l′Horta Sud,l′Horta Sud,l′Horta Sud,l′Horta Sud,l′Horta Sud,l′Horta Sud,l′Horta Sud,l′Horta Sud,l′Horta Sud,l′Horta Sud,l′Horta Sud,l′Horta Sud,l′Horta Sud
Albalcentre,15,9.8,2.5,9.8,4.9,9.2,72,0.0,0.0,6,E,18
AldaiaBarri del Crist,54,11.0,2.1,11.4,4.6,,65,0.0,0.0,1,ESE,13
CatarrojaAjuntament,26,10.1,2.3,10.1,5.0,,71,0.0,0.0,6,SE,13
CatarrojaOest,25,10.1,2.1,10.1,5.2,,72,0.2,0.2,3,S,13
MassanassaIES Massanassa,12 +10,9.9,2.6,9.9,5.4,,74,0.2,0.2,3,ENE,15
Quart de Poblet,42,11.3,2.8,11.4,4.0,,61,0.0,0.0,6,NE,15
TorrentAv. al Vedat,61 +23,10.2,2.0,10.3,5.5,,73,0.0,0.0,3,ESE,24
TorrentCEIP Antonio Machado,60 +20,10.6,2.1,10.6,5.7,,72,0.0,0.0,6,SE,15
